Multi Channel Analyzer Raw Data
Version: 1

Channel: 46
[s]	[µV]
0.3	-5.727436
0.3001	-12.24531
0.3002	-9.00581
0.3003	2.39723
0.3004	7.38606
0.3005	0.764522
0.3006	-12.232352
0.3007	-2.798928
0.3008	6.34942
0.3009	8.915104
0.301	-6.712244
0.3011	-2.669348
0.3012	-1.74933
0.3013	-25.33289
0.3014	-37.370872
0.3015	-42.69661
0.3016	-28.041112
0.3017	-13.08758
0.3018	-15.769886
0.3019	-28.274356
0.302	-29.894106
0.3021	-11.610368
0.3022	-3.602324
0.3023	-14.461128
0.3024	-15.860592
0.3025	-33.36685
0.3026	-31.008494
0.3027	-10.23682
0.3028	-11.260502
0.3029	-25.449512
0.303	-29.829316
0.3031	-30.96962
0.3032	-41.27123
0.3033	-31.42315
0.3034	-40.001346
0.3035	-38.2261
0.3036	-22.909744
0.3037	-42.281954
0.3038	-44.031284
0.3039	-16.689904
0.304	-45.184546
0.3041	-44.562562
0.3042	-29.22029
0.3043	-22.326634
0.3044	-25.59205
0.3045	-32.705992
0.3046	-46.674716
0.3047	-37.44862
0.3048	-41.478558
0.3049	-49.655056
0.305	-40.714036
0.3051	-37.072838
0.3052	-26.667564
0.3053	-28.805634
0.3054	-32.20063
0.3055	-38.990622
0.3056	-26.848976
0.3057	-26.69348
0.3058	-24.801612
0.3059	-26.836018
0.306	-23.726098
0.3061	-31.008494
0.3062	-26.382488
0.3063	-35.543794
0.3064	-47.802062
0.3065	-51.76721
0.3066	-32.395
0.3067	-31.61752
0.3068	-34.960684
0.3069	-34.20912
0.307	-33.872212
0.3071	-25.2681
0.3072	-35.595626
0.3073	-25.345848
0.3074	-25.605008
0.3075	-31.630478
0.3076	-40.532624
0.3077	-23.233694
0.3078	-16.793568
0.3079	-35.543794
0.308	-22.48213
0.3081	-16.767652
0.3082	-9.705542
0.3083	-13.398572
0.3084	-4.703754
0.3085	-1.593834
0.3086	-9.964702
0.3087	-24.983024
0.3088	-23.894552
0.3089	-25.812336
0.309	-12.76363
0.3091	-5.779268
0.3092	-17.402594
0.3093	-22.6765
0.3094	-9.018768
0.3095	-21.873104
0.3096	-16.378912
0.3097	-0.920018
0.3098	14.9017
0.3099	-2.047364
0.31	-18.089368
0.3101	-6.93253
0.3102	0.660858
0.3103	11.908402
0.3104	2.254692
0.3105	-20.447724
0.3106	-11.519662
0.3107	-10.3664
0.3108	0.298034
0.3109	10.146114
0.311	9.031726
0.3111	3.770778
0.3112	1.840036
0.3113	14.953532
0.3114	21.847188
0.3115	32.058092
0.3116	41.672928
0.3117	33.833338
0.3118	20.305186
0.3119	26.123328
0.312	19.69616
0.3121	22.132264
0.3122	24.399914
0.3123	31.954428
0.3124	25.488386
0.3125	18.685436
0.3126	27.833784
0.3127	28.144776
0.3128	25.682756
0.3129	23.700182
0.313	18.65952
0.3131	33.159522
0.3132	36.658182
0.3133	31.61752
0.3134	26.88785
0.3135	23.557644
0.3136	19.255588
0.3137	26.525026
0.3138	28.416894
0.3139	19.929404
0.314	31.7471
0.3141	26.75827
0.3142	16.093836
0.3143	25.682756
0.3144	36.373106
0.3145	28.274356
0.3146	14.357464
0.3147	11.636284
0.3148	13.92985
0.3149	17.402594
0.315	29.570156
0.3151	24.153712
0.3152	9.666668
0.3153	25.112604
0.3154	22.521004
0.3155	15.394104
0.3156	27.47096
0.3157	22.93566
0.3158	41.219398
0.3159	43.448174
