Multi Channel Analyzer Raw Data
Version: 1

Channel: 86
[s]	[µV]
0.3297	-6.491958
0.3298	-4.716712
0.3299	1.088472
0.33	-18.568814
0.3301	-13.294908
0.3302	-6.712244
0.3303	-2.513852
0.3304	8.370868
0.3305	13.294908
0.3306	-5.973638
0.3307	0.401698
0.3308	-0.557194
0.3309	-2.708222
0.331	-3.511618
0.3311	-3.602324
0.3312	-2.345398
0.3313	-16.58624
0.3314	-19.035302
0.3315	-7.360144
0.3316	-8.630028
0.3317	11.441914
0.3318	28.598306
0.3319	8.863272
0.332	3.187668
0.3321	22.171138
0.3322	19.553622
0.3323	8.059876
0.3324	9.226096
0.3325	15.342272
0.3326	22.650584
0.3327	10.781056
0.3328	11.584452
0.3329	9.65371
0.333	16.819484
0.3331	6.725202
0.3332	2.565684
0.3333	23.71314
0.3334	29.22029
0.3335	29.67382
0.3336	22.728332
0.3337	13.579984
0.3338	13.15237
0.3339	14.201968
0.334	10.405274
0.3341	2.410188
0.3342	35.660416
0.3343	25.177394
0.3344	11.454872
0.3345	14.746204
0.3346	15.394104
0.3347	11.27346
0.3348	26.88785
0.3349	11.701074
0.335	19.981236
0.3351	25.890084
0.3352	17.635838
0.3353	35.867744
0.3354	26.719396
0.3355	23.609476
0.3356	20.499556
0.3357	13.256034
0.3358	11.934318
0.3359	21.328868
0.336	47.400364
0.3361	35.168012
0.3362	11.053174
0.3363	-3.30429
0.3364	14.409296
0.3365	18.257822
0.3366	20.512514
0.3367	21.782398
0.3368	27.937448
0.3369	9.679626
0.337	19.553622
0.3371	16.365954
0.3372	4.574174
0.3373	6.193924
0.3374	14.279716
0.3375	11.07909
0.3376	16.52145
0.3377	25.993748
0.3378	8.798482
0.3379	-8.046918
0.338	-1.567918
0.3381	10.75514
0.3382	7.64522
0.3383	11.92136
0.3384	14.51296
0.3385	-2.306524
0.3386	-10.392316
0.3387	-1.438338
0.3388	-13.191244
0.3389	-0.012958
0.339	-3.75782
0.3391	-10.742182
0.3392	-12.659966
0.3393	-15.368188
0.3394	-18.711352
0.3395	-7.25648
0.3396	6.789992
0.3397	-6.530832
0.3398	-14.590708
0.3399	-11.947276
0.34	-17.03977
0.3401	-10.094282
0.3402	-14.525918
0.3403	-12.50447
0.3404	-15.277482
0.3405	-14.461128
0.3406	-10.184988
0.3407	-7.424934
0.3408	-25.449512
0.3409	-16.39187
0.341	-18.711352
0.3411	-20.486598
0.3412	-16.093836
0.3413	-24.568368
0.3414	-32.420916
0.3415	-18.063452
0.3416	-18.491066
0.3417	-17.545132
0.3418	-17.376678
0.3419	-44.601436
0.342	-41.439684
0.3421	-28.403936
0.3422	-29.233248
0.3423	-35.271676
0.3424	-27.432086
0.3425	-41.517432
0.3426	-51.76721
0.3427	-53.399918
0.3428	-49.69393
0.3429	-50.173376
0.343	-42.657736
0.3431	-42.43745
0.3432	-32.032176
0.3433	-21.367742
0.3434	-43.318594
0.3435	-44.212696
0.3436	-45.93611
0.3437	-50.5362
0.3438	-48.437004
0.3439	-36.684098
0.344	-27.27659
0.3441	-32.485706
0.3442	-50.21225
0.3443	-40.325296
0.3444	-48.20376
0.3445	-48.812786
0.3446	-55.861938
0.3447	-53.425834
0.3448	-58.077756
0.3449	-52.764976
0.345	-42.916896
0.3451	-43.642544
0.3452	-47.75023
0.3453	-48.39813
0.3454	-59.697506
0.3455	-51.002688
0.3456	-30.619754
0.3457	-38.951748
0.3458	-41.996878
0.3459	-44.12199
0.346	-67.809214
0.3461	-37.357914
0.3462	-16.314122
0.3463	-26.408404
0.3464	-40.597414
0.3465	-30.205098
0.3466	-38.264974
0.3467	-44.420024
0.3468	-42.30787
0.3469	-42.735484
0.347	-42.994644
0.3471	-26.032622
0.3472	-16.417786
0.3473	-35.582668
0.3474	-54.721634
0.3475	-44.018326
0.3476	-38.213142
0.3477	-48.411088
0.3478	-38.446386
0.3479	-24.063006
0.348	-41.543348
0.3481	-54.203314
0.3482	-29.60903
0.3483	-5.533066
0.3484	-35.880702
0.3485	-37.785528
0.3486	-31.798932
0.3487	-41.167566
0.3488	-27.92449
0.3489	-19.735034
0.349	-17.55809
0.3491	-22.6765
0.3492	-34.312784
0.3493	-25.605008
0.3494	-17.052728
0.3495	-13.942808
0.3496	-18.154158
0.3497	-10.897678
0.3498	-10.146114
0.3499	5.44236
0.35	7.088026
0.3501	3.459786
0.3502	4.01698
0.3503	-8.578196
0.3504	-12.258268
0.3505	-15.070154
0.3506	-4.949956
0.3507	0.855228
0.3508	-11.454872
0.3509	-0.375782
0.351	5.57194
0.3511	-16.819484
0.3512	-8.331994
0.3513	8.448616
0.3514	-0.414656
0.3515	5.481234
0.3516	25.46247
0.3517	12.102772
0.3518	6.15505
0.3519	3.511618
0.352	20.292228
0.3521	11.59741
0.3522	13.268992
0.3523	16.45666
0.3524	15.407062
0.3525	17.804292
0.3526	24.438788
0.3527	13.165328
0.3528	17.42851
0.3529	33.016984
0.353	12.530386
0.3531	-7.230564
0.3532	-2.65639
0.3533	14.979448
0.3534	20.240396
0.3535	26.214034
0.3536	26.149244
0.3537	24.6202
0.3538	29.401702
0.3539	31.55273
0.354	31.630478
0.3541	41.750676
0.3542	19.851656
0.3543	20.369976
0.3544	34.882936
0.3545	27.678288
0.3546	19.449958
0.3547	17.117518
0.3548	25.358806
0.3549	13.528152
0.355	11.6622
0.3551	18.218948
0.3552	30.77525
0.3553	25.605008
0.3554	29.012962
0.3555	28.844508
0.3556	13.243076
0.3557	21.289994
0.3558	32.641202
0.3559	19.203756
