Multi Channel Analyzer Raw Data
Version: 1

Channel: 38
[s]	[µV]
0.348	106.12602
0.3481	109.339604
0.3482	117.891884
0.3483	105.983482
0.3484	112.773474
0.3485	142.952656
0.3486	144.041128
0.3487	134.529956
0.3488	131.601448
0.3489	148.848546
0.349	116.609042
0.3491	107.74577
0.3492	131.225666
0.3493	131.562574
0.3494	134.283754
0.3495	145.492424
0.3496	137.3548
0.3497	131.666238
0.3498	117.542018
0.3499	127.480804
0.35	142.499126
0.3501	139.272584
0.3502	131.640322
0.3503	133.558106
0.3504	138.90976
0.3505	154.835142
0.3506	135.631386
0.3507	133.869098
0.3508	126.845862
0.3509	117.218068
0.351	114.147022
0.3511	128.050956
0.3512	133.298946
0.3513	117.036656
0.3514	129.32084
0.3515	135.113066
0.3516	130.020572
0.3517	132.04202
0.3518	133.869098
0.3519	138.495104
0.352	116.259176
0.3521	115.84452
0.3522	127.092064
0.3523	119.66713
0.3524	118.915566
0.3525	117.542018
0.3526	117.891884
0.3527	107.201534
0.3528	90.706
0.3529	98.493758
0.353	120.626022
0.3531	120.57419
0.3532	114.134064
0.3533	117.39948
0.3534	127.57151
0.3535	107.460694
0.3536	105.555868
0.3537	118.734154
0.3538	107.046038
0.3539	114.41914
0.354	121.040678
0.3541	112.617978
0.3542	99.893222
0.3543	96.848092
0.3544	93.116188
0.3545	99.076868
0.3546	113.369542
0.3547	117.542018
0.3548	116.634958
0.3549	117.580892
0.355	111.659086
0.3551	108.432544
0.3552	109.443268
0.3553	111.088934
0.3554	119.47276
0.3555	109.352562
0.3556	114.587594
0.3557	107.35703
0.3558	109.88384
0.3559	120.405736
0.356	113.64166
0.3561	113.25292
0.3562	119.524592
0.3563	107.058996
0.3564	112.514314
0.3565	111.075976
0.3566	101.33156
0.3567	106.981248
0.3568	126.975442
0.3569	119.239516
0.357	127.623342
0.3571	132.741752
0.3572	118.578658
0.3573	102.95131
0.3574	101.927628
0.3575	105.28375
0.3576	114.406182
0.3577	119.563466
0.3578	103.042016
0.3579	118.643448
0.358	123.891438
0.3581	129.437462
0.3582	131.808776
0.3583	127.130938
0.3584	114.328434
0.3585	100.890988
0.3586	118.397246
0.3587	133.156408
0.3588	125.524146
0.3589	134.452208
0.359	125.43344
0.3591	126.781072
0.3592	134.141216
0.3593	119.045146
0.3594	140.581342
0.3595	140.840502
0.3596	135.579554
0.3597	128.400822
0.3598	132.832458
0.3599	131.19975
0.36	145.764542
0.3601	150.429422
0.3602	138.84497
0.3603	144.494658
0.3604	142.92674
0.3605	128.323074
0.3606	145.622004
0.3607	159.629602
0.3608	159.305652
