Multi Channel Analyzer Raw Data
Version: 1

Channel: 17
[s]	[µV]
0.3799	409.459842
0.38	396.657338
0.3801	407.46431
0.3802	409.835624
0.3803	410.44465
0.3804	411.701576
0.3805	419.541166
0.3806	402.514354
0.3807	386.031778
0.3808	413.81373
0.3809	411.325794
0.381	408.11221
0.3811	414.707832
0.3812	403.732406
0.3813	417.351264
0.3814	439.107746
0.3815	424.853946
0.3816	402.423648
0.3817	419.359754
0.3818	432.252964
0.3819	426.681024
0.382	428.300774
0.3821	409.135892
0.3822	402.268152
0.3823	419.06172
0.3824	441.569766
0.3825	438.641258
0.3826	418.99693
0.3827	418.452694
0.3828	415.148404
0.3829	414.992908
0.383	422.404884
0.3831	420.759218
0.3832	442.217666
0.3833	429.998272
0.3834	419.100594
0.3835	424.478164
0.3836	418.374946
0.3837	413.917394
0.3838	415.69264
0.3839	432.499166
0.384	419.372712
0.3841	422.249388
0.3842	425.359308
0.3843	425.514804
0.3844	423.700684
0.3845	434.170748
0.3846	433.652428
0.3847	428.922758
0.3848	417.390138
0.3849	406.025972
0.385	417.195768
0.3851	422.10685
0.3852	420.87584
0.3853	421.497824
0.3854	414.72079
0.3855	404.820878
0.3856	391.098356
0.3857	404.341432
0.3858	425.553678
0.3859	424.581828
0.386	432.60283
0.3861	410.755642
0.3862	403.473246
0.3863	414.966992
0.3864	414.383882
0.3865	410.820432
0.3866	414.085848
0.3867	410.431692
0.3868	398.71766
0.3869	403.667616
0.387	402.954926
0.3871	403.045632
0.3872	387.37941
0.3873	389.154656
0.3874	399.534014
0.3875	406.181468
0.3876	391.422306
0.3877	376.546522
0.3878	389.012118
0.3879	388.558588
0.388	391.214978
0.3881	372.827576
0.3882	389.698892
0.3883	385.383878
0.3884	385.319088
0.3885	395.15421
0.3886	400.92052
0.3887	389.789598
0.3888	380.239552
0.3889	358.340532
0.389	374.849024
0.3891	380.731956
0.3892	371.350364
0.3893	378.814172
0.3894	383.336514
0.3895	368.46073
0.3896	382.261
0.3897	377.945986
0.3898	371.492902
0.3899	366.802106
0.39	378.866004
0.3901	383.764128
0.3902	371.363322
0.3903	351.498708
0.3904	365.324894
0.3905	361.385662
0.3906	353.092542
0.3907	339.668054
0.3908	331.27127
0.3909	345.550986
0.391	351.408002
0.3911	341.145266
0.3912	347.611308
0.3913	359.817744
0.3914	345.13633
0.3915	327.979938
0.3916	351.796742
0.3917	349.244016
0.3918	322.39504
0.3919	346.587626
0.392	323.807462
0.3921	328.55009
0.3922	346.017474
0.3923	325.790036
0.3924	323.535344
0.3925	331.180564
0.3926	323.846336
0.3927	317.66537
0.3928	318.222564
0.3929	331.932128
0.393	329.936596
0.3931	325.906658
0.3932	321.61756
0.3933	331.128732
0.3934	323.004066
0.3935	307.869122
0.3936	308.685476
0.3937	317.471
0.3938	311.458488
0.3939	317.393252
0.394	331.582262
0.3941	308.452232
0.3942	294.548298
0.3943	290.634982
0.3944	304.64258
0.3945	311.678774
0.3946	314.996022
0.3947	304.927656
0.3948	300.353482
0.3949	295.18324
0.395	291.801202
0.3951	301.739988
0.3952	293.23954
0.3953	306.78065
0.3954	304.020596
0.3955	290.505402
0.3956	288.237752
0.3957	296.038468
0.3958	298.072874
0.3959	281.810584
0.396	293.69307
0.3961	290.272158
0.3962	297.178772
0.3963	293.56349
0.3964	298.74669
0.3965	292.837842
0.3966	287.900844
0.3967	301.027298
0.3968	301.040256
0.3969	306.871356
0.397	313.816844
0.3971	307.998702
0.3972	288.89861
0.3973	278.85616
0.3974	280.942398
0.3975	304.603706
0.3976	300.677432
0.3977	285.607278
0.3978	296.556788
0.3979	307.597004
0.398	304.57779
0.3981	300.729264
0.3982	308.607728
0.3983	292.578682
0.3984	273.258304
0.3985	309.618452
0.3986	321.138114
0.3987	306.547406
0.3988	302.05098
0.3989	304.046512
0.399	316.136326
0.3991	298.902186
0.3992	298.35795
0.3993	303.981722
0.3994	322.356166
0.3995	321.267694
0.3996	312.080472
0.3997	311.808354
0.3998	328.459384
0.3999	324.46832
0.4	320.917828
0.4001	312.313716
0.4002	291.710496
0.4003	303.942848
0.4004	320.801206
0.4005	315.099686
0.4006	310.47368
0.4007	310.642134
0.4008	325.945532
0.4009	312.080472
0.401	324.07958
0.4011	320.477256
0.4012	322.0063
0.4013	343.620244
0.4014	325.284674
0.4015	314.477702
0.4016	320.38655
0.4017	317.069302
0.4018	328.407552
0.4019	325.05143
0.402	322.641242
0.4021	320.049642
0.4022	324.429446
0.4023	331.906212
0.4024	325.997364
0.4025	317.98932
0.4026	315.78646
0.4027	303.748478
0.4028	326.360188
0.4029	339.266356
0.403	335.210502
0.4031	344.345892
0.4032	349.866
0.4033	347.326232
0.4034	344.721674
0.4035	341.404426
0.4036	340.393702
0.4037	320.555004
0.4038	336.117562
0.4039	348.82936
0.404	350.345446
0.4041	336.078688
