Multi Channel Analyzer Raw Data
Version: 1

Channel: 47
[s]	[µV]
0.348	-277.223452
0.3481	-273.815498
0.3482	-254.391456
0.3483	-258.071528
0.3484	-250.594762
0.3485	-216.100566
0.3486	-202.896364
0.3487	-202.352128
0.3488	-197.700206
0.3489	-173.663116
0.349	-205.552754
0.3491	-211.941048
0.3492	-180.556772
0.3493	-165.953106
0.3494	-158.463382
0.3495	-142.421378
0.3496	-147.734158
0.3497	-154.420486
0.3498	-160.173838
0.3499	-142.628706
0.35	-117.554976
0.3501	-120.496442
0.3502	-126.781072
0.3503	-116.129596
0.3504	-99.58223
0.3505	-81.726106
0.3506	-94.632274
0.3507	-89.500906
0.3508	-97.133168
0.3509	-102.005376
0.351	-98.649254
0.3511	-83.073738
0.3512	-72.681422
0.3513	-79.315918
0.3514	-65.813682
0.3515	-65.554522
0.3516	-67.264978
0.3517	-59.943708
0.3518	-51.922706
0.3519	-47.827978
0.352	-70.310108
0.3521	-72.785086
0.3522	-57.157738
0.3523	-61.524584
0.3524	-58.285084
0.3525	-61.68008
0.3526	-54.268104
0.3527	-55.887854
0.3528	-70.193486
0.3529	-61.628248
0.353	-32.926278
0.3531	-31.345402
0.3532	-41.647012
0.3533	-29.751568
0.3534	-13.592942
0.3535	-33.872212
0.3536	-32.045134
0.3537	-17.713586
0.3538	-28.079986
0.3539	-18.85389
0.354	-4.820376
0.3541	-9.433424
0.3542	-20.784632
0.3543	-19.994194
0.3544	-21.57507
0.3545	-12.037982
0.3546	7.217606
0.3547	11.804738
0.3548	12.400806
0.3549	15.80876
0.355	19.437
0.3551	22.041558
0.3552	33.43164
0.3553	35.530836
0.3554	44.821722
0.3555	36.60635
0.3556	41.970962
0.3557	34.59786
0.3558	47.413322
0.3559	55.797148
0.356	55.045584
0.3561	57.27436
0.3562	66.033968
0.3563	58.971858
0.3564	64.40126
0.3565	64.491966
0.3566	61.109928
0.3567	65.619312
0.3568	87.129592
0.3569	91.949968
0.357	107.5514
0.3571	114.380266
0.3572	105.41333
0.3573	90.952202
0.3574	94.230576
0.3575	101.124232
0.3576	104.24711
0.3577	110.609488
0.3578	98.506716
0.3579	116.81637
0.358	118.850776
0.3581	129.165344
0.3582	128.763646
0.3583	125.355692
0.3584	117.373564
