Multi Channel Analyzer Raw Data
Version: 1

Channel: 37
[s]	[µV]
0	5.805184
0.0001	5.986596
0.0002	6.168008
0.0003	6.336462
0.0004	6.504916
0.0005	6.67337
0.0006	6.828866
0.0007	6.984362
0.0008	7.139858
0.0009	7.282396
0.001	7.424934
0.0011	7.554514
0.0012	7.684094
0.0013	7.813674
0.0014	7.930296
0.0015	8.03396
0.0016	8.150582
0.0017	8.241288
0.0018	8.344952
0.0019	8.4227
0.002	8.513406
0.0021	8.578196
0.0022	8.655944
0.0023	8.720734
0.0024	8.772566
0.0025	8.824398
0.0026	8.87623
0.0027	8.915104
0.0028	8.953978
0.0029	8.992852
0.003	9.018768
0.0031	9.031726
0.0032	9.044684
0.0033	9.057642
0.0034	9.057642
0.0035	9.057642
0.0036	9.044684
0.0037	9.031726
0.0038	9.00581
0.0039	8.979894
0.004	8.953978
0.0041	8.915104
0.0042	8.87623
0.0043	8.824398
0.0044	8.772566
0.0045	8.694818
0.0046	8.630028
0.0047	8.539322
0.0048	8.448616
0.0049	8.35791
0.005	8.254246
0.0051	8.137624
0.0052	8.021002
0.0053	7.891422
0.0054	7.761842
0.0055	7.632262
0.0056	7.489724
0.0057	7.334228
0.0058	7.178732
0.0059	7.010278
0.006	6.841824
0.0061	6.660412
0.0062	6.479
0.0063	6.297588
0.0064	6.116176
0.0065	5.921806
0.0066	5.727436
0.0067	5.520108
0.0068	5.31278
0.0069	5.105452
0.007	4.898124
0.0071	4.677838
0.0072	4.457552
0.0073	4.237266
0.0074	4.01698
0.0075	3.783736
0.0076	3.550492
0.0077	3.30429
0.0078	3.071046
0.0079	2.837802
0.008	2.5916
0.0081	2.358356
0.0082	2.125112
0.0083	1.87891
0.0084	1.645666
0.0085	1.399464
0.0086	1.16622
0.0087	0.920018
0.0088	0.686774
0.0089	0.45353
0.009	0.207328
0.0091	-0.025916
0.0092	-0.25916
0.0093	-0.505362
0.0094	-0.751564
0.0095	-0.997766
0.0096	-1.23101
0.0097	-1.477212
0.0098	-1.710456
0.0099	-1.9437
0.01	-2.189902
0.0101	-2.423146
0.0102	-2.65639
0.0103	-2.876676
0.0104	-3.096962
0.0105	-3.330206
0.0106	-3.537534
0.0107	-3.75782
0.0108	-3.95219
0.0109	-4.159518
0.011	-4.353888
0.0111	-4.548258
0.0112	-4.742628
0.0113	-4.92404
0.0114	-5.105452
0.0115	-5.286864
0.0116	-5.455318
0.0117	-5.623772
0.0118	-5.779268
0.0119	-5.934764
0.012	-6.077302
0.0121	-6.21984
0.0122	-6.362378
0.0123	-6.491958
0.0124	-6.621538
0.0125	-6.73816
0.0126	-6.854782
0.0127	-6.958446
0.0128	-7.06211
0.0129	-7.152816
0.013	-7.230564
0.0131	-7.308312
0.0132	-7.38606
0.0133	-7.45085
0.0134	-7.51564
0.0135	-7.567472
0.0136	-7.619304
0.0137	-7.658178
0.0138	-7.697052
0.0139	-7.722968
0.014	-7.748884
0.0141	-7.761842
0.0142	-7.761842
0.0143	-7.761842
0.0144	-7.748884
0.0145	-7.722968
0.0146	-7.697052
0.0147	-7.671136
0.0148	-7.632262
0.0149	-7.593388
0.015	-7.554514
0.0151	-7.502682
0.0152	-7.437892
0.0153	-7.373102
0.0154	-7.308312
0.0155	-7.243522
0.0156	-7.165774
0.0157	-7.075068
0.0158	-6.984362
0.0159	-6.893656
0.016	-6.789992
0.0161	-6.686328
0.0162	-6.569706
0.0163	-6.453084
0.0164	-6.323504
0.0165	-6.206882
0.0166	-6.064344
0.0167	-5.934764
0.0168	-5.792226
0.0169	-5.649688
0.017	-5.494192
0.0171	-5.351654
0.0172	-5.196158
0.0173	-5.040662
0.0174	-4.885166
0.0175	-4.716712
0.0176	-4.561216
0.0177	-4.392762
0.0178	-4.224308
0.0179	-4.055854
0.018	-3.8874
0.0181	-3.718946
0.0182	-3.537534
0.0183	-3.36908
0.0184	-3.200626
0.0185	-3.019214
0.0186	-2.837802
0.0187	-2.65639
0.0188	-2.474978
0.0189	-2.293566
0.019	-2.112154
0.0191	-1.9437
0.0192	-1.762288
0.0193	-1.593834
0.0194	-1.412422
0.0195	-1.23101
0.0196	-1.049598
0.0197	-0.881144
0.0198	-0.71269
0.0199	-0.544236
0.02	-0.375782
0.0201	-0.220286
0.0202	-0.06479
0.0203	0.077748
0.0204	0.233244
0.0205	0.375782
0.0206	0.51832
0.0207	0.6479
0.0208	0.790438
0.0209	0.90706
0.021	1.03664
0.0211	1.153262
0.0212	1.256926
0.0213	1.36059
0.0214	1.464254
0.0215	1.567918
0.0216	1.658624
0.0217	1.74933
0.0218	1.827078
0.0219	1.917784
0.022	1.995532
0.0221	2.060322
0.0222	2.125112
0.0223	2.189902
0.0224	2.241734
0.0225	2.293566
0.0226	2.33244
0.0227	2.371314
0.0228	2.39723
0.0229	2.423146
0.023	2.449062
0.0231	2.46202
0.0232	2.46202
0.0233	2.46202
0.0234	2.449062
0.0235	2.423146
0.0236	2.410188
0.0237	2.371314
