Multi Channel Analyzer Raw Data
Version: 1

Channel: 26
[s]	[µV]
0	3.226542
0.0001	3.407954
0.0002	3.576408
0.0003	3.744862
0.0004	3.913316
0.0005	4.08177
0.0006	4.237266
0.0007	4.392762
0.0008	4.548258
0.0009	4.690796
0.001	4.833334
0.0011	4.962914
0.0012	5.092494
0.0013	5.222074
0.0014	5.338696
0.0015	5.455318
0.0016	5.57194
0.0017	5.675604
0.0018	5.76631
0.0019	5.869974
0.002	5.947722
0.0021	6.038428
0.0022	6.116176
0.0023	6.180966
0.0024	6.258714
0.0025	6.323504
0.0026	6.375336
0.0027	6.427168
0.0028	6.479
0.0029	6.517874
0.003	6.556748
0.0031	6.595622
0.0032	6.621538
0.0033	6.634496
0.0034	6.647454
0.0035	6.660412
0.0036	6.67337
0.0037	6.67337
0.0038	6.660412
0.0039	6.660412
0.004	6.634496
0.0041	6.621538
0.0042	6.595622
0.0043	6.556748
0.0044	6.517874
0.0045	6.466042
0.0046	6.41421
0.0047	6.34942
0.0048	6.271672
0.0049	6.193924
0.005	6.103218
0.0051	5.999554
0.0052	5.89589
0.0053	5.792226
0.0054	5.675604
0.0055	5.558982
0.0056	5.429402
0.0057	5.286864
0.0058	5.144326
0.0059	5.001788
0.006	4.846292
0.0061	4.677838
0.0062	4.522342
0.0063	4.353888
0.0064	4.172476
0.0065	4.004022
0.0066	3.82261
0.0067	3.641198
0.0068	3.446828
0.0069	3.252458
0.007	3.058088
0.0071	2.863718
0.0072	2.669348
0.0073	2.46202
0.0074	2.254692
0.0075	2.047364
0.0076	1.827078
0.0077	1.61975
0.0078	1.399464
0.0079	1.179178
0.008	0.958892
0.0081	0.751564
0.0082	0.531278
0.0083	0.310992
0.0084	0.090706
0.0085	-0.116622
0.0086	-0.336908
0.0087	-0.544236
0.0088	-0.764522
0.0089	-0.984808
0.009	-1.192136
0.0091	-1.412422
0.0092	-1.632708
0.0093	-1.852994
0.0094	-2.060322
0.0095	-2.280608
0.0096	-2.487936
0.0097	-2.708222
0.0098	-2.91555
0.0099	-3.122878
0.01	-3.330206
0.0101	-3.550492
0.0102	-3.744862
0.0103	-3.95219
0.0104	-4.14656
0.0105	-4.34093
0.0106	-4.5353
0.0107	-4.716712
0.0108	-4.898124
0.0109	-5.066578
0.011	-5.235032
0.0111	-5.403486
0.0112	-5.57194
0.0113	-5.727436
0.0114	-5.89589
0.0115	-6.038428
0.0116	-6.180966
0.0117	-6.323504
0.0118	-6.466042
0.0119	-6.582664
0.012	-6.712244
0.0121	-6.828866
0.0122	-6.93253
0.0123	-7.036194
0.0124	-7.139858
0.0125	-7.230564
0.0126	-7.308312
0.0127	-7.38606
0.0128	-7.45085
0.0129	-7.51564
0.013	-7.567472
0.0131	-7.606346
0.0132	-7.658178
0.0133	-7.684094
0.0134	-7.722968
0.0135	-7.735926
0.0136	-7.761842
0.0137	-7.7748
0.0138	-7.7748
0.0139	-7.7748
0.014	-7.761842
0.0141	-7.748884
0.0142	-7.722968
0.0143	-7.697052
0.0144	-7.658178
0.0145	-7.606346
0.0146	-7.554514
0.0147	-7.502682
0.0148	-7.437892
0.0149	-7.38606
0.015	-7.308312
0.0151	-7.230564
0.0152	-7.152816
0.0153	-7.075068
0.0154	-6.984362
0.0155	-6.880698
0.0156	-6.777034
0.0157	-6.67337
0.0158	-6.556748
0.0159	-6.427168
0.016	-6.297588
0.0161	-6.168008
0.0162	-6.02547
0.0163	-5.882932
0.0164	-5.740394
0.0165	-5.584898
0.0166	-5.429402
0.0167	-5.260948
0.0168	-5.092494
0.0169	-4.92404
0.017	-4.755586
0.0171	-4.574174
0.0172	-4.40572
0.0173	-4.224308
0.0174	-4.042896
0.0175	-3.861484
0.0176	-3.680072
0.0177	-3.485702
0.0178	-3.30429
0.0179	-3.10992
0.018	-2.91555
0.0181	-2.72118
0.0182	-2.52681
0.0183	-2.33244
0.0184	-2.13807
0.0185	-1.930742
0.0186	-1.736372
0.0187	-1.529044
0.0188	-1.321716
0.0189	-1.114388
0.019	-0.90706
0.0191	-0.699732
0.0192	-0.505362
0.0193	-0.298034
0.0194	-0.090706
0.0195	0.103664
0.0196	0.310992
0.0197	0.505362
0.0198	0.71269
0.0199	0.90706
0.02	1.10143
0.0201	1.2958
0.0202	1.477212
0.0203	1.671582
0.0204	1.852994
0.0205	2.034406
0.0206	2.20286
0.0207	2.371314
0.0208	2.539768
0.0209	2.695264
0.021	2.85076
0.0211	3.006256
0.0212	3.148794
0.0213	3.291332
0.0214	3.420912
0.0215	3.550492
0.0216	3.680072
0.0217	3.796694
0.0218	3.913316
0.0219	4.029938
0.022	4.133602
0.0221	4.237266
0.0222	4.327972
0.0223	4.418678
0.0224	4.496426
0.0225	4.574174
0.0226	4.651922
0.0227	4.716712
0.0228	4.768544
0.0229	4.833334
0.023	4.872208
0.0231	4.911082
0.0232	4.949956
0.0233	4.975872
0.0234	4.98883
0.0235	5.001788
0.0236	5.014746
0.0237	5.014746
0.0238	5.014746
0.0239	5.001788
0.024	4.975872
0.0241	4.949956
0.0242	4.911082
