Multi Channel Analyzer Raw Data
Version: 1

Channel: 28
[s]	[µV]
0	-14.927616
0.0001	-14.77212
0.0002	-14.629582
0.0003	-14.487044
0.0004	-14.344506
0.0005	-14.214926
0.0006	-14.072388
0.0007	-13.942808
0.0008	-13.826186
0.0009	-13.709564
0.001	-13.592942
0.0011	-13.489278
0.0012	-13.385614
0.0013	-13.294908
0.0014	-13.191244
0.0015	-13.113496
0.0016	-13.02279
0.0017	-12.945042
0.0018	-12.880252
0.0019	-12.815462
0.002	-12.750672
0.0021	-12.69884
0.0022	-12.647008
0.0023	-12.595176
0.0024	-12.556302
0.0025	-12.517428
0.0026	-12.491512
0.0027	-12.465596
0.0028	-12.43968
0.0029	-12.426722
0.003	-12.426722
0.0031	-12.426722
0.0032	-12.426722
0.0033	-12.43968
0.0034	-12.452638
0.0035	-12.478554
0.0036	-12.50447
0.0037	-12.543344
0.0038	-12.582218
0.0039	-12.621092
0.004	-12.672924
0.0041	-12.724756
0.0042	-12.776588
0.0043	-12.841378
0.0044	-12.919126
0.0045	-12.996874
0.0046	-13.074622
0.0047	-13.178286
0.0048	-13.268992
0.0049	-13.385614
0.005	-13.489278
0.0051	-13.6059
0.0052	-13.73548
0.0053	-13.86506
0.0054	-13.99464
0.0055	-14.137178
0.0056	-14.279716
0.0057	-14.435212
0.0058	-14.590708
0.0059	-14.746204
0.006	-14.914658
0.0061	-15.09607
0.0062	-15.264524
0.0063	-15.445936
0.0064	-15.627348
0.0065	-15.80876
0.0066	-15.990172
0.0067	-16.184542
0.0068	-16.378912
0.0069	-16.573282
0.007	-16.767652
0.0071	-16.97498
0.0072	-17.16935
0.0073	-17.376678
0.0074	-17.584006
0.0075	-17.804292
0.0076	-18.01162
0.0077	-18.231906
0.0078	-18.452192
0.0079	-18.672478
0.008	-18.892764
0.0081	-19.11305
0.0082	-19.333336
0.0083	-19.553622
0.0084	-19.773908
0.0085	-19.981236
0.0086	-20.201522
0.0087	-20.40885
0.0088	-20.629136
0.0089	-20.836464
0.009	-21.043792
0.0091	-21.264078
0.0092	-21.471406
0.0093	-21.678734
0.0094	-21.89902
0.0095	-22.106348
0.0096	-22.313676
0.0097	-22.508046
0.0098	-22.715374
0.0099	-22.922702
0.01	-23.13003
0.0101	-23.3244
0.0102	-23.51877
0.0103	-23.71314
0.0104	-23.90751
0.0105	-24.088922
0.0106	-24.270334
0.0107	-24.451746
0.0108	-24.6202
0.0109	-24.788654
0.011	-24.94415
0.0111	-25.099646
0.0112	-25.255142
0.0113	-25.410638
0.0114	-25.553176
0.0115	-25.695714
0.0116	-25.838252
0.0117	-25.967832
0.0118	-26.084454
0.0119	-26.214034
0.012	-26.317698
0.0121	-26.421362
0.0122	-26.525026
0.0123	-26.62869
0.0124	-26.719396
0.0125	-26.797144
0.0126	-26.874892
0.0127	-26.939682
0.0128	-27.004472
0.0129	-27.056304
0.013	-27.108136
0.0131	-27.14701
0.0132	-27.185884
0.0133	-27.2118
0.0134	-27.224758
0.0135	-27.250674
0.0136	-27.250674
0.0137	-27.263632
0.0138	-27.250674
0.0139	-27.237716
0.014	-27.224758
0.0141	-27.198842
0.0142	-27.172926
0.0143	-27.134052
0.0144	-27.08222
0.0145	-27.030388
0.0146	-26.978556
0.0147	-26.913766
0.0148	-26.836018
0.0149	-26.75827
0.015	-26.680522
0.0151	-26.602774
0.0152	-26.512068
0.0153	-26.408404
0.0154	-26.317698
0.0155	-26.214034
0.0156	-26.11037
0.0157	-25.993748
0.0158	-25.864168
0.0159	-25.734588
0.016	-25.605008
0.0161	-25.46247
0.0162	-25.319932
0.0163	-25.177394
