Multi Channel Analyzer Raw Data
Version: 1

Channel: 32
[s]	[µV]
0.382	-66.34496
0.3821	-66.565246
0.3822	-67.783298
0.3823	-67.601886
0.3824	-72.396346
0.3825	-66.254254
0.3826	-54.449516
0.3827	-51.559882
0.3828	-48.877576
0.3829	-46.946834
0.383	-59.86596
0.3831	-65.852556
0.3832	-57.520562
0.3833	-54.332894
0.3834	-50.095628
0.3835	-53.153716
0.3836	-55.175164
0.3837	-52.764976
0.3838	-62.444602
0.3839	-63.131376
0.384	-50.769444
0.3841	-46.752464
0.3842	-44.886512
0.3843	-50.264082
0.3844	-42.359702
0.3845	-49.49956
0.3846	-42.385618
0.3847	-29.09071
0.3848	-16.599198
0.3849	-31.500898
0.385	-46.661758
0.3851	-48.087138
0.3852	-48.709122
0.3853	-33.638968
0.3854	-30.243972
0.3855	-41.582222
0.3856	-43.111266
0.3857	-25.838252
0.3858	-29.207332
0.3859	-31.993302
0.386	-58.18142
0.3861	-55.926728
0.3862	-32.045134
0.3863	-41.98392
0.3864	-42.69661
0.3865	-23.946384
0.3866	-42.787316
0.3867	-45.41779
0.3868	-27.833784
0.3869	-16.482576
0.387	-17.726544
0.3871	-37.798486
0.3872	-30.114392
0.3873	-28.468726
0.3874	-28.520558
0.3875	-19.994194
0.3876	-22.041558
0.3877	-20.655052
0.3878	-26.473194
0.3879	-39.84585
0.388	-35.919576
0.3881	-28.481684
0.3882	-33.120648
0.3883	-22.015642
0.3884	-26.30474
0.3885	-45.132714
0.3886	-32.356126
0.3887	-25.605008
0.3888	-18.72431
0.3889	-22.909744
0.389	-33.781506
0.3891	-30.58088
0.3892	-14.694372
0.3893	-17.182308
0.3894	-45.61216
0.3895	-40.130926
0.3896	-42.17829
0.3897	-43.487048
0.3898	-34.455322
0.3899	-38.848084
0.39	-48.39813
0.3901	-57.507604
0.3902	-39.71627
0.3903	-28.779718
0.3904	-37.344956
0.3905	-34.882936
0.3906	-43.629586
0.3907	-53.425834
0.3908	-53.672036
0.3909	-37.83736
0.391	-34.118414
0.3911	-37.331998
0.3912	-34.01475
0.3913	-31.630478
0.3914	-27.302506
0.3915	-36.748888
0.3916	-52.622438
0.3917	-52.648354
0.3918	-47.283742
0.3919	-52.039328
0.392	-51.676504
0.3921	-61.459794
0.3922	-55.58982
0.3923	-60.630482
0.3924	-58.50537
0.3925	-55.291786
0.3926	-47.957558
0.3927	-39.78106
0.3928	-43.849872
0.3929	-55.887854
0.393	-70.206444
0.3931	-59.166228
0.3932	-44.627352
0.3933	-58.557202
0.3934	-56.147014
0.3935	-52.518774
0.3936	-51.404386
0.3937	-64.802958
0.3938	-72.927624
0.3939	-70.128696
0.394	-74.236382
0.3941	-68.495988
0.3942	-76.620654
0.3943	-75.972754
0.3944	-71.72253
0.3945	-71.385622
0.3946	-69.416006
0.3947	-77.320386
0.3948	-86.779726
0.3949	-75.856132
0.395	-63.986604
0.3951	-64.997328
0.3952	-74.83245
0.3953	-68.54782
0.3954	-55.926728
0.3955	-60.345406
0.3956	-66.79849
0.3957	-63.81815
0.3958	-59.904834
0.3959	-69.053182
0.396	-72.396346
0.3961	-81.82977
0.3962	-73.562566
0.3963	-81.842728
0.3964	-73.47186
0.3965	-72.214934
0.3966	-77.605462
0.3967	-93.55676
0.3968	-83.851218
0.3969	-90.731916
0.397	-82.99599
0.3971	-86.650146
0.3972	-85.950414
0.3973	-89.073292
0.3974	-79.75649
0.3975	-59.08848
0.3976	-54.708676
0.3977	-65.062118
0.3978	-71.955774
0.3979	-77.333344
0.398	-103.171596
0.3981	-98.28643
0.3982	-89.760066
0.3983	-91.48348
0.3984	-77.437008
0.3985	-69.13093
0.3986	-85.58759
0.3987	-98.662212
0.3988	-100.333794
0.3989	-90.407966
0.399	-80.935668
0.3991	-91.237278
0.3992	-73.912432
0.3993	-83.617974
0.3994	-106.424054
0.3995	-92.13138
0.3996	-87.116634
0.3997	-85.470968
0.3998	-85.989288
0.3999	-81.6354
0.4	-92.19617
0.4001	-78.344068
0.4002	-88.658636
0.4003	-108.963822
0.4004	-78.046034
0.4005	-64.388302
0.4006	-68.120206
0.4007	-80.197062
0.4008	-86.546482
0.4009	-76.90573
0.401	-69.273468
0.4011	-72.668464
0.4012	-74.080886
0.4013	-79.134506
0.4014	-70.932092
0.4015	-62.250232
0.4016	-68.379366
0.4017	-90.796706
0.4018	-89.267662
0.4019	-81.933434
0.402	-82.918242
0.4021	-70.180528
0.4022	-66.306086
0.4023	-53.620204
0.4024	-54.151482
0.4025	-74.340046
0.4026	-71.061672
0.4027	-75.117526
0.4028	-75.713594
0.4029	-65.17874
0.403	-55.758274
0.4031	-48.91645
0.4032	-62.029946
0.4033	-47.892768
0.4034	-56.406174
0.4035	-53.697952
0.4036	-61.252466
0.4037	-45.41779
0.4038	-46.38964
0.4039	-47.128246
0.404	-52.259614
0.4041	-48.65729
0.4042	-46.97275
0.4043	-41.867298
0.4044	-38.09652
0.4045	-44.614394
0.4046	-46.182312
0.4047	-30.32172
0.4048	-36.891426
0.4049	-51.24889
0.405	-49.201526
0.4051	-53.97007
0.4052	-69.623334
0.4053	-48.372214
0.4054	-35.31055
0.4055	-43.02056
0.4056	-36.710014
0.4057	-53.024136
0.4058	-46.532178
0.4059	-45.197504
0.406	-36.399022
0.4061	-34.546028
0.4062	-52.985262
0.4063	-46.298934
0.4064	-43.124224
0.4065	-42.476324
0.4066	-53.179632
0.4067	-44.160864
0.4068	-17.376678
0.4069	-42.268996
0.407	-35.168012
0.4071	-11.20867
0.4072	-23.272568
0.4073	-37.370872
0.4074	-20.979002
0.4075	-13.6059
0.4076	-22.87087
0.4077	-16.080878
0.4078	-25.928958
0.4079	-28.079986
0.408	-19.216714
0.4081	-7.658178
0.4082	-27.302506
0.4083	-27.134052
0.4084	-25.345848
0.4085	-35.206886
